,Timestamp,Latitude,Longitude,Altitude,Speed_gps,weather_time,weather_term,feeltemp_outside,windspeed,cloud_coverage,trafficflow_reducedspeed,trafficflow_confidence,freeflow_speed,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,Max_Emotion,road_type,max_speed,lanes,ts,expressed_emotion
0,2021-03-03 12:20:40.487265587,48.66993138415818,9.174942300516104,409.95094443330964,0.058405157178640366,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.08,neutral,residential,,,2021-03-03 12:20:40.487265587,neutral
1,2021-03-03 12:20:47.136462450,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.0,0.001,0.0,0.0,0.0,0.986,0.0,0.013,neutral,residential,,,2021-03-03 12:20:47.136462450,neutral
2,2021-03-03 12:20:47.136462450,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.0,0.001,0.0,0.0,0.0,0.986,0.0,0.013,neutral,residential,,,2021-03-03 12:20:47.136462450,neutral
3,2021-03-03 12:20:47.136462450,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.0,0.001,0.0,0.0,0.0,0.986,0.0,0.013,neutral,residential,,,2021-03-03 12:20:47.136462450,neutral
4,2021-03-03 12:20:48.086450577,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.003,neutral,residential,,,2021-03-03 12:20:48.086450577,neutral
5,2021-03-03 12:20:49.065099955,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,,,,,,,,,,residential,,,2021-03-03 12:20:49.065099955,neutral
6,2021-03-03 12:20:50.951296806,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,,,,,,,,,,residential,,,2021-03-03 12:20:50.951296806,neutral
7,2021-03-03 12:20:51.951780319,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,,,,,,,,,,residential,,,2021-03-03 12:20:51.951780319,neutral
8,2021-03-03 12:20:54.951332092,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.001,0.0,0.0,0.0,0.0,0.996,0.0,0.002,neutral,residential,,,2021-03-03 12:20:54.951332092,neutral
9,2021-03-03 12:20:54.951332092,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.001,0.0,0.0,0.0,0.0,0.996,0.0,0.002,neutral,residential,,,2021-03-03 12:20:54.951332092,neutral
10,2021-03-03 12:20:54.951332092,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.001,0.0,0.0,0.0,0.0,0.996,0.0,0.002,neutral,residential,,,2021-03-03 12:20:54.951332092,neutral
11,2021-03-03 12:20:55.951838493,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,,,,,,,,,,residential,,,2021-03-03 12:20:55.951838493,neutral
12,2021-03-03 12:20:57.951563835,48.66993145916232,9.174941972609359,410.0179384509102,0.0,2021-03-05T10:41:00+00:00,Cloudy,-0.8,13.0,91,0.0,1.0,115.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.965,0.0,0.027000000000000003,neutral,residential,,,2021-03-03 12:20:57.951563835,neutral
